Site,Plot,Pos,plant_ID,clone_ID,Tag_ID,slide_ID,grid_loc,Total_A_mm2,Visible_A_mm2,total_hy,A_hy_mm2,L_mm,D_L
HUN,8,12,110-44L-10,AM,2975,H6,B6,2.359,1.716,8,1.00E-02,3.117,1.816433566
HUN,8,12,110-44L-10,AM,2975,H6,C2,1.62,1.101,9,8.01E-03,2.303,2.091734787
HUN,8,12,110-44L-10,AM,2975,H6,B2,1.685,0.915,10,8.64E-03,2.44,2.666666667
KER,6,6,239,AV,2356,K1,C7,1.284,0.183,0,0,0,0
KER,6,6,239,AV,2356,K1,F6,0.571,0.376,0,0,0,0
KER,6,6,239,AV,2356,K1,D8,1.402,0.07,0,0,0,0
KER,6,6,239,AV,2356,K1,D6,2.02,0.976,0,0,0,0
KER,6,6,239,AV,2356,K1,E6,0.957,0.904,0,0,0,0
KER,6,6,239,AV,2356,K1,G6,1.117,1.071,0,0,0,0
KER,6,6,239,AV,2356,K1,E7,1.537,1.248,0,0,0,0
KER,6,6,239,AV,2356,K1,C2,1.129,1.129,0,0,0,0
KER,6,6,239,AV,2356,K1,E8,0.977,0.648,0,0,0,0
KER,6,6,239,AV,2356,K1,D5,1.551,1.551,0,0,0,0
