"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-12",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-14",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-17",,,"0.01",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-20","    3","0.11","0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-21",,,"0.04",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-22",,,"0.03",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-23",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-25","    2","0.05",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-26",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-27",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-28",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-29",,,"0.07",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-01","    3","0.07",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-02",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-03",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-04",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-06","    2","0.45",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-07",,,"0.07",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-08",,,"0.06",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-09",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-10",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-12","    2","0.04",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-17",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-18",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-19",,,"0.04",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-21",,,"0.46",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-22",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-23",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-25","    2","0.02",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-27","    2","0.04",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-29",,,"0.42",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-04-30",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-01",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-02",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-03",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-04",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-05",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-06",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-07",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-08",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-09",,,"0.44",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-12",,,"0.07",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-13",,,"2.30",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-14",,,"0.06",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-17",,,"0.22",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-18",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-20",,,"0.28",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-22","    2","0.54",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-23",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-24",,,"0.11",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-25",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-26",,,"0.05",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-27",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-28",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-29",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-30",,,"0.45",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-05-31",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-06-01",,,"0.00","0.0",,,,
